"date","max.ozone"
"01/01/2013",0.037
"01/02/2013",0.034
"01/03/2013",0.032
"01/04/2013",0.031
"01/05/2013",0.032
"01/06/2013",0.041
"01/07/2013",0.037
"01/08/2013",0.03
"01/09/2013",0.032
"01/10/2013",0.04
"01/11/2013",0.036
"01/12/2013",0.039
"01/13/2013",0.037
"01/14/2013",0.035
"01/15/2013",0.034
"01/16/2013",0.033
"01/17/2013",0.034
"01/18/2013",0.032
"01/19/2013",0.034
"01/20/2013",0.034
"01/21/2013",0.03
"01/22/2013",0.025
"01/23/2013",0.022
"01/24/2013",0.021
"01/25/2013",0.017
"01/26/2013",0.03
"01/27/2013",0.039
"01/28/2013",0.038
"01/29/2013",0.04
"01/30/2013",0.033
"01/31/2013",0.03
"02/01/2013",0.031
"02/02/2013",0.03
"02/03/2013",0.042
"02/04/2013",0.036
"02/05/2013",0.04
"02/06/2013",0.045
"02/07/2013",0.044
"02/08/2013",0.04
"02/09/2013",0.041
"02/10/2013",0.045
"02/11/2013",0.042
"02/12/2013",0.038
"02/13/2013",0.039
"02/15/2013",0.046
"02/16/2013",0.044
"02/17/2013",0.055
"02/18/2013",0.052
"02/19/2013",0.047
"02/20/2013",0.046
"02/22/2013",0.041
"02/23/2013",0.047
"02/24/2013",0.042
"02/25/2013",0.045
"02/26/2013",0.043
"02/27/2013",0.044
"02/28/2013",0.043
"03/01/2013",0.041
"03/02/2013",0.051
"03/03/2013",0.046
"03/04/2013",0.045
"03/05/2013",0.049
"03/06/2013",0.04
"03/07/2013",0.046
"03/08/2013",0.047
"03/09/2013",0.043
"03/10/2013",0.053
"03/11/2013",0.052
"03/12/2013",0.052
"03/13/2013",0.049
"03/14/2013",0.062
"03/15/2013",0.065
"03/16/2013",0.056
"03/17/2013",0.053
"03/18/2013",0.053
"03/19/2013",0.049
"03/20/2013",0.052
"03/21/2013",0.048
"03/22/2013",0.056
"03/23/2013",0.066
"03/24/2013",0.064
"03/25/2013",0.066
"03/26/2013",0.071
"03/27/2013",0.057
"03/28/2013",0.045
"03/29/2013",0.046
"03/30/2013",0.055
"03/31/2013",0.036
"04/01/2013",0.044
"04/02/2013",0.053
"04/03/2013",0.062
"04/04/2013",0.051
"04/05/2013",0.045
"04/06/2013",0.051
"04/07/2013",0.051
"04/08/2013",0.048
"04/09/2013",0.056
"04/10/2013",0.057
"04/11/2013",0.067
"04/12/2013",0.062
"04/13/2013",0.066
"04/14/2013",0.053
"04/15/2013",0.052
"04/16/2013",0.049
"04/17/2013",0.053
"04/18/2013",0.053
"04/19/2013",0.063
"04/20/2013",0.06
"04/21/2013",0.084
"04/22/2013",0.077
"04/23/2013",0.055
"04/24/2013",0.066
"04/25/2013",0.062
"04/26/2013",0.068
"04/27/2013",0.071
"04/28/2013",0.069
"04/29/2013",0.08
"04/30/2013",0.068
"05/01/2013",0.065
"05/02/2013",0.064
"05/03/2013",0.092
"05/04/2013",0.088
"05/05/2013",0.06
"05/06/2013",0.05
"05/07/2013",0.053
"05/08/2013",0.057
"05/09/2013",0.06
"05/10/2013",0.065
"05/11/2013",0.067
"05/12/2013",0.075
"05/13/2013",0.076
"05/14/2013",0.07
"05/15/2013",0.066
"05/16/2013",0.061
"05/17/2013",0.056
"05/18/2013",0.065
"05/19/2013",0.07
"05/20/2013",0.065
"05/21/2013",0.09
"05/22/2013",0.063
"05/23/2013",0.066
"05/24/2013",0.076
"05/25/2013",0.072
"05/26/2013",0.056
"05/27/2013",0.052
"05/28/2013",0.055
"05/29/2013",0.059
"05/30/2013",0.075
"05/31/2013",0.073
"06/01/2013",0.079
"06/02/2013",0.085
"06/03/2013",0.068
"06/04/2013",0.071
"06/05/2013",0.083
"06/06/2013",0.07
"06/07/2013",0.076
"06/08/2013",0.081
"06/09/2013",0.074
"06/10/2013",0.061
"06/11/2013",0.036
"06/12/2013",0.002
"06/14/2013",0.09
"06/15/2013",0.085
"06/16/2013",0.063
"06/17/2013",0.053
"06/18/2013",0.07
"06/19/2013",0.054
"06/20/2013",0.057
"06/21/2013",0.068
"06/22/2013",0.076
"06/23/2013",0.066
"06/24/2013",0.049
"06/25/2013",0.035
"06/26/2013",0.061
"06/27/2013",0.06
"06/28/2013",0.087
"06/29/2013",0.067
"07/01/2013",0.067
"07/02/2013",0.066
"07/03/2013",0.079
"07/04/2013",0.077
"07/05/2013",0.073
"07/06/2013",0.065
"07/07/2013",0.058
"07/08/2013",0.057
"07/09/2013",0.08
"07/10/2013",0.064
"07/11/2013",0.053
"07/12/2013",0.061
"07/13/2013",0.06
"07/14/2013",0.053
"07/15/2013",0.046
"07/16/2013",0.071
"07/17/2013",0.076
"07/18/2013",0.093
"07/19/2013",0.093
"07/20/2013",0.085
"07/21/2013",0.061
"07/22/2013",0.067
"07/23/2013",0.073
"07/24/2013",0.073
"07/25/2013",0.076
"07/26/2013",0.066
"07/27/2013",0.083
"07/28/2013",0.063
"07/29/2013",0.063
"07/30/2013",0.061
"07/31/2013",0.072
"08/01/2013",0.058
"08/02/2013",0.08
"08/03/2013",0.067
"08/04/2013",0.058
"08/05/2013",0.064
"08/06/2013",0.061
"08/07/2013",0.062
"08/08/2013",0.06
"08/09/2013",0.063
"08/10/2013",0.07
"08/11/2013",0.07
"08/12/2013",0.076
"08/13/2013",0.081
"08/14/2013",0.08
"08/15/2013",0.079
"08/16/2013",0.069
"08/17/2013",0.069
"08/18/2013",0.068
"08/19/2013",0.058
"08/20/2013",0.072
"08/21/2013",0.059
"08/22/2013",0.053
"08/23/2013",0.069
"08/24/2013",0.07
"08/25/2013",0.065
"08/26/2013",0.047
"08/27/2013",0.062
"08/28/2013",0.059
"08/29/2013",0.057
"08/30/2013",0.072
"08/31/2013",0.038
"09/01/2013",0.035
"09/02/2013",0.047
"09/03/2013",0.052
"09/04/2013",0.056
"09/05/2013",0.059
"09/06/2013",0.047
"09/07/2013",0.048
"09/08/2013",0.055
"09/09/2013",0.065
"09/10/2013",0.059
"09/11/2013",0.052
"09/12/2013",0.065
"09/13/2013",0.07
"09/14/2013",0.08
"09/15/2013",0.076
"09/16/2013",0.069
"09/17/2013",0.066
"09/18/2013",0.064
"09/19/2013",0.064
"09/20/2013",0.087
"09/21/2013",0.057
"09/22/2013",0.049
"09/23/2013",0.052
"09/24/2013",0.062
"09/25/2013",0.057
"09/26/2013",0.045
"09/27/2013",0.041
"09/28/2013",0.046
"09/29/2013",0.056
"10/01/2013",0.068
"10/02/2013",0.062
"10/03/2013",0.052
"10/04/2013",0.041
"10/05/2013",0.042
"10/06/2013",0.048
"10/07/2013",0.064
"10/08/2013",0.048
"10/09/2013",0.042
"10/10/2013",0.046
"10/11/2013",0.053
"10/12/2013",0.064
"10/13/2013",0.055
"10/14/2013",0.047
"10/15/2013",0.044
"10/16/2013",0.043
"10/17/2013",0.066
"10/18/2013",0.047
"10/19/2013",0.047
"10/20/2013",0.063
"10/21/2013",0.049
"10/22/2013",0.045
"10/23/2013",0.046
"10/24/2013",0.059
"10/25/2013",0.056
"10/26/2013",0.053
"10/27/2013",0.057
"10/28/2013",0.041
"10/29/2013",0.037
"10/30/2013",0.039
"10/31/2013",0.039
"11/01/2013",0.039
"11/02/2013",0.056
"11/03/2013",0.057
"11/04/2013",0.046
"11/05/2013",0.038
"11/06/2013",0.036
"11/07/2013",0.035
"11/08/2013",0.035
"11/09/2013",0.051
"11/10/2013",0.05
"11/11/2013",0.042
"11/12/2013",0.021
"11/13/2013",0.036
"11/14/2013",0.043
"11/15/2013",0.054
"11/16/2013",0.046
"11/17/2013",0.047
"11/18/2013",0.043
"11/19/2013",0.047
"11/20/2013",0.042
"11/21/2013",0.032
"11/22/2013",0.035
"11/23/2013",0.036
"11/24/2013",0.035
"11/25/2013",0.03
"11/26/2013",0.028
"11/27/2013",0.027
"11/28/2013",0.031
"11/29/2013",0.023
"11/30/2013",0.036
"12/01/2013",0.035
"12/02/2013",0.037
"12/03/2013",0.041
"12/04/2013",0.041
"12/05/2013",0.034
"12/06/2013",0.04
"12/07/2013",0.04
"12/08/2013",0.041
"12/09/2013",0.039
"12/10/2013",0.028
"12/11/2013",0.025
"12/12/2013",0.026
"12/13/2013",0.036
"12/14/2013",0.039
"12/15/2013",0.033
"12/16/2013",0.023
"12/17/2013",0.016
"12/18/2013",0.036
"12/19/2013",0.039
"12/20/2013",0.034
"12/21/2013",0.038
"12/22/2013",0.033
"12/23/2013",0.03
"12/24/2013",0.028
"12/25/2013",0.039
"12/26/2013",0.032
"12/27/2013",0.029
"12/28/2013",0.033
"12/29/2013",0.042
"12/30/2013",0.029
